人物ID,姓名,姓,名,生年月日,没年月日
1074,水谷まさる,水谷,まさる,1894-12-25,1950-05-25
941,水野葉舟,水野,葉舟,1883-04-09,1947-02-02
1133,三田村鳶魚,三田村,鳶魚,1870-04-17,1952-05-14
1698,光田健輔,光田,健輔,1876-01-12,1964-05-14
973,三鳥山人,三鳥山人,,1889-01-04,1936-03-11
1400,松村みね子,松村,みね子,1878-02-10,1957-03-19
800,水上滝太郎,水上,滝太郎,1887-12-06,1940-03-23
1394,丸山英観,丸山,英観,1885-01-18,1956-02-05
1288,宮城道雄,宮城,道雄,1894-04-07,1956-06-25
147,三浦久,三浦,久,1945,
1871,三宅周太郎,三宅,周太郎,1892-07-22,1967-02-14
804,三宅やす子,三宅,やす子,1890-03-15,1932-01-18
805,宮崎湖処子,宮崎,湖処子,1864-09-20,1922-08-09
1494,水上茂樹,水上,茂樹,,
801,三宅幾三郎,三宅,幾三郎,1897-10-15,1941-05-01
929,宮島資夫,宮島,資夫,1886-08-01,1951-02-19
1446,宮地嘉六,宮地,嘉六,1884-06-11,1958-04-10
809,宮原晃一郎,宮原,晃一郎,1882-09-02,1945-06-10
1717,ミュッセアルフレッド,ミュッセ,アルフレッド,1810-12-11,1857-05-02
312,村井政善,村井,政善,,1937
346,村岡博,村岡,博,1895-02-03,1946-04-19
815,村上浪六,村上,浪六,1865-11-01,1944-12-01
1559,村越三千男,村越,三千男,1880,1948
1225,村山俊太郎,村山,俊太郎,1905-07-15,1948-12-09
1764,モースエドワード・シルヴェスター,モース,エドワード・シルヴェスター,1838-06-18,1925-12-20
1035,モーゼスウィリアム・ステイントン,モーゼス,ウィリアム・ステイントン,1839,1892
1376,百瀬慎太郎,百瀬,慎太郎,1892,1949-03
1623,百田宗治,百田,宗治,1893-01-25,1955-12-12
1977,森於菟,森,於菟,1890-09-13,1967-12-21
1640,森竹夫,森,竹夫,1905,1946
1652,森川義信,森川,義信,1918-10-11,1942-08-13
1826,森下雨村,森下,雨村,1890-02-23,1965-05-16
826,森田草平,森田,草平,1881-03-19,1949-12-14
1864,森田正馬,森田,正馬,1874-01-18,1938-04-12
883,モルナールフェレンツ,モルナール,フェレンツ,1878-01-12,1952-04-01
1891,矢崎源九郎,矢崎,源九郎,1921-03-26,1967-02-23
1083,矢崎嵯峨の舎,矢崎,嵯峨の舎,1863-03-01,1947-10-26
317,矢田津世子,矢田,津世子,1907-06-19,1944-03-14
1656,矢田部達郎,矢田部,達郎,1893-10-24,1958-03-24
1538,矢内原忠雄,矢内原,忠雄,1893-01-27,1961-12-25
831,柳川春葉,柳川,春葉,1877-03-05,1918-01-09
1934,柳原白蓮,柳原,白蓮,1885-10-15,1967-02-22
1641,藪田忠夫,藪田,忠夫,1912,1943-01
1080,藪野椋十,藪野,椋十,1872-06-03,1926-04-09
1969,矢部貞治,矢部,貞治,1902-11-09,1967-05-07
1949,山浦貫一,山浦,貫一,1893-03-20,1967-09-26
1801,山川方夫,山川,方夫,1930-02-25,1965-02-20
1662,山口芳光,山口,芳光,,1930
1777,山崎富栄,山崎,富栄,1919-09-24,1948-06-13
837,山路愛山,山路,愛山,1865-01-23,1917-03-14
1391,山下博章,山下,博章,1898,1943-12-05
1208,山下利三郎,山下,利三郎,1892,1952-03-29
1334,山田済斎,山田,済斎,1867-12-18,1952-11-21
1889,山中峯太郎,山中,峯太郎,1885-12-15,1966-04-28
1693,山之口貘,山之口,貘,1903-09-11,1963-07-19
1845,村田稔雄,村田,稔雄,1923,
870,山本勝治,山本,勝治,,1929-03-17
319,山本宣治,山本,宣治,1889-05-28,1929-03-05
370,横瀬夜雨,横瀬,夜雨,1878-01-01,1934-02-14
1994,森郁夫,森,郁夫,1929,1966
321,与謝野礼厳,与謝野,礼厳,1823-10-16,1898-08-17
1328,吉井幸蔵,吉井,幸蔵,1856-01-02,1927-10-07
322,吉江孤雁,吉江,孤雁,1880-09-05,1940-03-26
1258,吉田甲子太郎,吉田,甲子太郎,1894-03-23,1957-01-08
1177,吉田絃二郎,吉田,絃二郎,1886-11-24,1956-05-21
1924,吉田茂,吉田,茂,1878-09-22,1967-10-20
1741,吉田松陰,吉田,松陰,1830-09-20,1859-11-21
323,吉野作造,吉野,作造,1878-01-29,1933-03-18
1974,吉野秀雄,吉野,秀雄,1902-07-03,1967-07-13
1659,吉本明光,吉本,明光,1899,1960
43,吉行エイスケ,吉行,エイスケ,1906-05-10,1940-07-08
1983,淀野隆三,淀野,隆三,1904-04-16,1967-07-07
1196,ランドハンス,ランド,ハンス,1861,不詳
1164,リカードデイヴィッド,リカード,デイヴィッド,1772-04-19,1823-09-11
1089,リットンエドワード・ジョージ・アール・ブルワー,リットン,エドワード・ジョージ・アール・ブルワー,1803-05-25,1873-01-18
1937,笠信太郎,笠,信太郎,1900-12-11,1967-12-04
30,山形浩生,山形,浩生,,
960,山川丙三郎,山川,丙三郎,1876,1947
326,ルヴェルモーリス,ルヴェル,モーリス,1875-08-29,1926-04-15
358,ルモンニエーカミーユ,ルモンニエー,カミーユ,1844-03-24,1913-06-13
356,レニエアンリ・ド,レニエ,アンリ・ド,1864-12-28,1936-05-23
332,ワイルドオスカー,ワイルド,オスカー,1854-10-16,1900-11-30
331,若杉鳥子,若杉,鳥子,1892-12-21,1937-12-18
1501,若林玵蔵,若林,玵蔵,1857-09-19,1938-05-03
100,山本ゆうじ,山本,ゆうじ,,
98,結城浩,結城,浩,1963,
1203,ワタナベオン,ワタナベ,オン,1902-08-26,1930-02-10
1185,ワルラスマリー・エスプリ・レオン,ワルラス,マリー・エスプリ・レオン,1834-12-16,1910-01-05
1657,アークムフレデリック,アークム,フレデリック,1769-03-29,1838-06-28
330,青木栄瞳,青木,栄瞳,,
1790,青空文庫,青空文庫,,,
130,秋野平,秋野,平,,
139,朝倉克彦,朝倉,克彦,,
1964,天川恵三郎,天川,恵三郎,1864,1934-04-05
1842,アレンジェームズ,アレン,ジェームズ,1864-11-28,1912-01-24
1813,石塚浩之,石塚,浩之,,
200,岩本良子,岩本,良子,,
1663,上里春生,上里,春生,1897,1939-06-02
32,植松真人,植松,真人,,
180,ヴォルテール,ヴォルテール,,1694,1778
1783,エリオットジェイムズ・サンヅ,エリオット,ジェイムズ・サンヅ,1880-05-28,1959-10-26
1916,円城塔,円城,塔,1972-09-15,
2035,オーウェルジョージ,オーウェル,ジョージ,1903-06-25,1950-01-21
1955,太田健一,太田,健一,,
97,オー・ヘンリー,オー・ヘンリー,,1862-09-11,1910-06-05
1940,小倉右一郎,小倉,右一郎,1881-06-09,1962-07-15
206,小沢真理子,小沢,真理子,,
1574,オスラーウイリアム,オスラー,ウイリアム,1849-07-12,1919-12-29
1727,オルファースジビュレ・フォン,オルファース,ジビュレ・フォン,1881-05-08,1916-01-29
1841,カーペンターケニス・Ｊ,カーペンター,ケニス・Ｊ,1923,
1506,片岡義男,片岡,義男,1939-03-20,
223,カワードノエル,カワード,ノエル,1899-12-16,1973-03-26
1345,川合貞一,川合,貞一,1870-03-29,1955-06-19
99,菊池美範,菊池,美範,,
373,北畠尊也,北畠,尊也,1967,
1602,金鍾漢,金,鍾漢,1914-02-28,1944-09-27
1561,ギャロッドアーチボルド,ギャロッド,アーチボルド,1857-11-25,1936-03-28
1882,キングスフォードアンナ,キングスフォード,アンナ,1846-09-16,1888-02-22
1464,クラークヘンリ・サヴィル,クラーク,ヘンリ・サヴィル,1841,1893
1686,グリーナウェイケイト,グリーナウェイ,ケイト,1846-03-17,1901-11-06
215,栗林元,栗林,元,,
1950,クロッサーマイラ・ジョー,クロッサー,マイラ・ジョー,1880,1962
122,桑原一世,桑原,一世,,
108,小泉英政,小泉,英政,1948,
1756,コールデコットランドルフ,コールデコット,ランドルフ,1846-03-22,1886-02-12
16,小中千昭,小中,千昭,,
1241,ゴルドンエリザベス、アンナ,ゴルドン,エリザベス、アンナ,1851,1925
151,西府章,西府,章,,
54,佐野良二,佐野,良二,1940,
1918,澤西祐典,澤西,祐典,1986-07-12,
1265,サン＝テグジュペリアントワーヌ・ド,サン＝テグジュペリ,アントワーヌ・ド,1900-06-29,1944-07-31
1548,シェーンハイマールドルフ,シェーンハイマー,ルドルフ,1898-05-10,1941-09-11
1919,シェミンマーガレット,シェミン,マーガレット,192X,1976
1591,ジェンナーエドワード,ジェンナー,エドワード,1749-05-17,1823-01-26
1877,シガーヨンスソンフロスティ,シガーヨンスソン,フロスティ,1962-12-19,
1492,シゲリストヘンリー・Ｅ,シゲリスト,ヘンリー・Ｅ,1891,1957
594,芝不器男,芝,不器男,1903-04-18,1930-02-24
1367,嶋中雄作,嶋中,雄作,1887-02-02,1949-01-17
84,清水哲男,清水,哲男,1938-02-15,
90,清水鱗造,清水,鱗造,1950,
210,シュヴァルツエフゲーニイ,シュヴァルツ,エフゲーニイ,1896,1958
21,白田秀彰,白田,秀彰,,
1493,ジンサーハンス,ジンサー,ハンス,1878-11-17,1940-09-04
92,鈴木志郎康,鈴木,志郎康,1935-05-19,
1930,鈴木牧之,鈴木,牧之,1770-02-22,1842-06-23
335,ストールマンリチャード,ストールマン,リチャード,1953,
1600,スノウジョン,スノウ,ジョン,1813-03-15,1858-06-16
2010,スミスコードウェイナー,スミス,コードウェイナー,1913-07-11,1966-08-06
142,関富士子,関,富士子,,
1209,ソローヘンリー・デイビッド,ソロー,ヘンリー・デイビッド,1817-07-12,1862-05-06
2016,ダ・ヴィンチレオナルド,ダ・ヴィンチ,レオナルド,1452-04-15,1519-05-02
69,高野敦志,高野,敦志,1963,
1690,高橋竜雄,高橋,竜雄,1868,1946
59,高橋悠治,高橋,悠治,1938,
71,立花実,立花,実,1933,1968
1765,田辺竜子,田辺,竜子,1869-02-04,1943-07-18
1952,チェンバースロバート・Ｗ,チェンバース,ロバート・Ｗ,1865-05-26,1933-12-16
1236,チャペックカレル,チャペック,カレル,1890-01-09,1938-12-25
66,束原和多志,束原,和多志,,
117,津野海太郎,津野,海太郎,1938-04-06,
113,鶴岡雄二,鶴岡,雄二,1953,
1150,吉田秀夫,吉田,秀夫,1906,1953
41,徳永真一,徳永,真一,1973,
1800,米川正夫,米川,正夫,1891-11-25,1965-12-29
55,富田倫生,富田,倫生,1952-04-20,2013-08-16
1660,中島徳蔵,中島,徳蔵,1864-03-09,1940-05-31
62,西川光男,西川,光男,,
1237,ニューヨーク・サン紙,ニューヨーク・サン紙,,,
1784,ノイバーガーマクス,ノイバーガー,マクス,1868-12-08,1955-05-15
1739,野口英司,野口,英司,,
1963,信時潔,信時,潔,1887-12-29,1965-08-01
2036,パイパーヘンリー・ビーム,パイパー,ヘンリー・ビーム,1904-03-23,1964-11-06
723,芳賀矢一,芳賀,矢一,1867-06-12,1927-02-06
144,畑仲哲雄,畑仲,哲雄,1961-09,
1721,ハッサルアーサー・ヒル,ハッサル,アーサー・ヒル,1917-12-13,1894-04-09
1725,ハバードエルバート,ハバード,エルバート,1856-06-19,1915-05-07
143,浜野サトル,浜野,サトル,,
28,早見秋,早見,秋,1969,
1850,バルザックオノレ・ド,バルザック,オノレ・ド,1799-05-20,1850-08--18
193,久森謙二,久森,謙二,1940-08-09,
138,翡翠,翡翠,,,
2033,ヒュームデイヴィッド,ヒューム,デイヴィッド,1711-05-07,1776-08-25
2008,平光吾一,平光,吾一,1887-11,1967-05-12
56,平田剛士,平田,剛士,1964,
887,ピランデルロルイジ,ピランデルロ,ルイジ,1867-06-28,1936-12-10
1036,フィッツジェラルドフランシス・スコット,フィッツジェラルド,フランシス・スコット,1896-9-24,1940-12-21
1917,福永信,福永,信,1972-06-22,
110,藤井貞和,藤井,貞和,1942,
7,藤下真潮,藤下,真潮,1961,
1885,藤野古白,藤野,古白,1871-09-22,1895-04-12
2003,藤村操,藤村,操,1886-07-20,1903-05-22
127,藤本和子,藤本,和子,1939,
109,冬佳彰,冬,佳彰,,
915,プラトン,プラトン,,前427,前347
1687,ブリュノフジャン・ド,ブリュノフ,ジャン・ド,1899-12-09,1937-10-16
2052,プリリューエドゥアール・エルネ,プリリュー,エドゥアール・エルネ,1829-01-11,1915-10-07
1728,ベスコフエルサ,ベスコフ,エルサ,1874-02-11,1953-06-30
1847,ヘミングウェイアーネスト・ミラー,ヘミングウェイ,アーネスト・ミラー,1899-07-21,1961-07-02
1735,ベルトランアロイジウス,ベルトラン,アロイジウス,1807-04-20,1841-04-29
1238,ボームライマン・フランク,ボーム,ライマン・フランク,1856-05-15,1919-05-06
1505,ポタービアトリクス,ポター,ビアトリクス,1866-07-28,1943-12-22
2043,ホワイトフレッド・Ｍ,ホワイト,フレッド・Ｍ,1859,1935
1661,増田惟茂,増田,惟茂,1883-12-29,1933-08-06
167,町野修三,町野,修三,1943-11-18,2002-12-05
2009,マッケナリチャード・ミルトン,マッケナ,リチャード・ミルトン,1913-05-09,1964-11-01
103,松平維秋,松平,維秋,1946,1999-10
2051,松本竣介,松本,竣介,1912-04-19,1948-06-08
1720,松本たかし,松本,たかし,1906-01-05,1956-05-11
1844,ミーゼスルートヴィヒ・フォン,ミーゼス,ルートヴィヒ・フォン,1881-09-29,1973-10-10
1976,三木露風,三木,露風,1889-06-23,1964-12-29
1997,三岸好太郎,三岸,好太郎,1903-04-18,1934-07-01
1279,ミドルトンリチャード・バラム,ミドルトン,リチャード・バラム,1882-10-28,1911-12-01
1740,宮川典子,宮川,典子,,
1960,ミルンアラン・アレクザンダー,ミルン,アラン・アレクザンダー,1882-01-18,1956-01-31
1992,森律子,森,律子,1890-10-30,1961-07-22
79,森野光,森野,光,,
1848,モンテーニュミシェル・エケム・ド,モンテーニュ,ミシェル・エケム・ド,1533-02-28,1592-09-13
198,山本洋,山本,洋,1956,
191,山本光夫,山本,光夫,1959,
2013,吉岡禅寺洞,吉岡,禅寺洞,1889-07-02,1961-03-17
1699,ラヴクラフトハワード・フィリップス,ラヴクラフト,ハワード・フィリップス,1890-08-20,1937-03-15
336,ラティガンテレンス,ラティガン,テレンス,1911-06-10,1977-11-30
1239,ラングアンドルー,ラング,アンドルー,1844-03-31,1912-07-20
1688,リヴィングストン・ジュニアヘンリー,リヴィングストン・ジュニア,ヘンリー,1748-10-13,1828-02-29
339,ルターマルチン,ルター,マルチン,1483-11-10,1546-02-18
29,レイモンドエリック,レイモンド,エリック,,
1859,レ・ファニュジョゼフ・シェリダン,レ・ファニュ,ジョゼフ・シェリダン,1814-08-28,1873-02-07
